city,data_level,county_pop,patients_per_1000,facility_class,uninsured_rate,total_patients,expenses_vs_pci_2023,expenses_vs_pci_2021,pci_2023,lat_pop,lng_pop,totaloutpatientvisits,pci_2022,patients_vs_pci_2022,zips_pop,total_uninsured_patients,er_share,expenses_per_capita,inpatient_days_per_patient,year,charges_per_patient,facility_name,facilities_per_100k,totalervisits,lng,num_facilities,total_expenses,patients_vs_pci_2023,patients_vs_pci_2021,facility_id,profit_margin,net_profit_loss,county_fips,totalinpatientdays,expenses_vs_pci_2022,pci_2021,pci_2021_income,pci_2022_income,facility_group,lat,zips,county,pci_2023_income,city_pop
,facility,,,Corporation,0.0,2071,,,,,,41481,,,,0.0,0.0,,4.97,2021,0.0,Tennova Healthcare - Newport Medical Center,,0,,,0.0,,,197,0.0,0.0,,10283,,,,,Investor-Owned For-Profit,,,Cocke,,
,facility,,,Other Not-For-profit,0.0,858,,,,,,224331,,,,0.0,0.0,,4.52,2021,0.0,Unity Medical Center,,0,,,0.0,,,198,0.0,0.0,,3882,,,,,NonGovermental Not-For-Profit,,,Coffee,,
,facility,,,Other Not-For-profit,0.0,2703,,,,,,48839,,,,0.0,0.0,,4.05,2021,0.0,Vanderbilt Tullahoma - Harton Hospital,,0,,,0.0,,,199,0.0,0.0,,10960,,,,,NonGovermental Not-For-Profit,,,Coffee,,
,facility,,,Other Nonprofit Corp,0.0,4985,,,,,,81367,,,,0.0,0.0,,4.98,2021,0.0,"Cumberland Medical Center, Inc.",,0,,,0.0,,,200,0.0,0.0,,24812,,,,,NonGovermental Not-For-Profit,,,Cumberland,,
,facility,,,Corporation,0.0,5239,,,,,,76107,,,,0.0,0.06,,5.52,2021,0.0,TriStar Southern Hills Medical Center,,5262,,,0.0,,,201,0.0,0.0,,28909,,,,,Investor-Owned For-Profit,,,Davidson,,
,facility,,,Corporation,0.0,3196,,,,,,4232,,,,0.0,0.0,,7.7,2021,0.0,TriStar Skyline Madison Campus,,0,,,0.0,,,202,0.0,0.0,,24618,,,,,Investor-Owned For-Profit,,,Davidson,,
,facility,,,Hospital District or Authority,0.0,2058,,,,,,93064,,,,0.0,0.0,,4.87,2021,0.0,Metropolitan Nashville General Hospital,,0,,,0.0,,,203,0.0,0.0,,10016,,,,,Goverment Non-Federal,,,Davidson,,
,facility,,,Other Nonprofit Corp,0.0,21613,,,,,,102481,,,,0.0,0.0,,5.23,2021,0.0,Saint Thomas Midtown Hospital,,0,,,0.0,,,204,0.0,0.0,,113097,,,,,NonGovermental Not-For-Profit,,,Davidson,,
,facility,,,Other Nonprofit Corp,0.0,16035,,,,,,83234,,,,0.0,0.0,,6.45,2021,0.0,Saint Thomas West Hospital,,0,,,0.0,,,205,0.0,0.0,,103473,,,,,NonGovermental Not-For-Profit,,,Davidson,,
,facility,,,Other Not-For-profit,0.0,50715,,,,,,1551709,,,,0.0,0.0,,7.35,2021,0.0,Vanderbilt University Medical Center,,0,,,0.0,,,206,0.0,0.0,,372955,,,,,NonGovermental Not-For-Profit,,,Davidson,,
,facility,,,Corporation,0.0,28551,,,,,,214084,,,,0.0,0.06,,6.27,2021,0.0,TriStar Centennial Medical Center,,13944,,,0.0,,,207,0.0,0.0,,178968,,,,,Investor-Owned For-Profit,,,Davidson,,
,facility,,,Corporation,0.0,13340,,,,,,86110,,,,0.0,0.0,,6.61,2021,0.0,TriStar Skyline Medical Center,,0,,,0.0,,,208,0.0,0.0,,88136,,,,,Investor-Owned For-Profit,,,Davidson,,
,facility,,,Corporation,0.0,12963,,,,,,111124,,,,0.0,0.11,,4.87,2021,0.0,TriStar Summit Medical Center,,14177,,,0.0,,,209,0.0,0.0,,63188,,,,,Investor-Owned For-Profit,,,Davidson,,
,facility,,,Partnership,0.0,1017,,,,,,3086,,,,0.0,0.0,,2.26,2021,0.0,Saint Thomas Hospital for Specialty Surgery,,0,,,0.0,,,210,0.0,0.0,,2300,,,,,Investor-Owned For-Profit,,,Davidson,,
,facility,,,State,0.0,2953,,,,,,0,,,,0.0,0.0,,21.52,2021,0.0,Middle Tennessee Mental Health Institute,,0,,,0.0,,,211,0.0,0.0,,63538,,,,,Goverment Non-Federal,,,Davidson,,
,facility,,,Partnership,0.0,1014,,,,,,0,,,,0.0,0.0,,16.23,2021,0.0,Vanderbilt Stallworth Rehabilitation Hospital,,0,,,0.0,,,213,0.0,0.0,,16457,,,,,Investor-Owned For-Profit,,,Davidson,,
,facility,,,Corporation,0.0,0,,,,,,0,,,,0.0,0.0,,0.0,2021,0.0,Select Specialty Hospital - Nashville,,0,,,0.0,,,214,0.0,0.0,,13397,,,,,Investor-Owned For-Profit,,,Davidson,,
,facility,,,Corporation,0.0,6201,,,,,,59539,,,,0.0,0.21,,4.73,2021,0.0,TriStar Horizon Medical Center,,15930,,,0.0,,,216,0.0,0.0,,29304,,,,,Investor-Owned For-Profit,,,Dickson,,
,facility,,,Hospital District or Authority,0.0,2944,,,,,,43329,,,,0.0,0.0,,5.62,2021,0.0,West Tennessee Healthcare - Dyersburg Regional,,0,,,0.0,,,217,0.0,0.0,,16537,,,,,Goverment Non-Federal,,,Dyer,,
,facility,,,Corporation,0.0,0,,,,,,11875,,,,0.0,0.0,,0.0,2021,0.0,Southern Tennessee Regional Health System - Sewanee,,0,,,0.0,,,218,0.0,0.0,,0,,,,,Investor-Owned For-Profit,,,Franklin,,
,facility,,,Corporation,0.0,3276,,,,,,68764,,,,0.0,0.0,,4.63,2021,0.0,Southern Tennessee Regional Health System- Winchester,,0,,,0.0,,,219,0.0,0.0,,15175,,,,,Investor-Owned For-Profit,,,Franklin,,
,facility,,,Hospital District or Authority,0.0,459,,,,,,17254,,,,0.0,0.0,,4.56,2021,0.0,West Tennessee Healthcare Milan Hospital,,0,,,0.0,,,220,0.0,0.0,,2094,,,,,Goverment Non-Federal,,,Gibson,,
,facility,,,Corporation,0.0,1505,,,,,,32203,,,,0.0,0.0,,4.56,2021,0.0,Southern Tennessee Regional Health System Pulaski,,0,,,0.0,,,221,0.0,0.0,,6861,,,,,Investor-Owned For-Profit,,,Giles,,
,facility,,,Other Nonprofit Corp,0.0,4092,,,,,,116366,,,,0.0,0.0,,4.19,2021,0.0,Greeneville Community Hospital East,,0,,,0.0,,,222,0.0,0.0,,17144,,,,,NonGovermental Not-For-Profit,,,Greene,,
,facility,,,Other Not-For-profit,0.0,0,,,,,,52554,,,,0.0,0.0,,0.0,2021,0.0,Greeneville Community Hospital West,,0,,,0.0,,,223,0.0,0.0,,0,,,,,NonGovermental Not-For-Profit,,,Greene,,
,facility,,,Other Nonprofit Corp,0.0,7201,,,,,,94513,,,,0.0,0.0,,4.67,2021,0.0,Morristown - Hamblen Healthcare System,,0,,,0.0,,,224,0.0,0.0,,33620,,,,,NonGovermental Not-For-Profit,,,Hamblen,,
,facility,,,Hospital District or Authority,0.0,17328,,,,,,794273,,,,0.0,0.0,,8.31,2021,0.0,Erlanger Medical Center,,0,,,0.0,,,226,0.0,0.0,,143983,,,,,Goverment Non-Federal,,,Hamilton,,
,facility,,,Hospital District or Authority,0.0,313,,,,,,21359,,,,0.0,0.0,,23.91,2021,0.0,Erlanger North Hospital,,0,,,0.0,,,227,0.0,0.0,,7485,,,,,Goverment Non-Federal,,,Hamilton,,
,facility,,,Hospital District or Authority,0.0,6839,,,,,,85217,,,,0.0,0.0,,3.58,2021,0.0,Erlanger East Hospital,,0,,,0.0,,,228,0.0,0.0,,24510,,,,,Goverment Non-Federal,,,Hamilton,,
,facility,,,Church-Operated,0.0,10683,,,,,,261477,,,,0.0,0.0,,7.86,2021,0.0,Memorial Healthcare System,,0,,,0.0,,,229,0.0,0.0,,83950,,,,,NonGovermental Not-For-Profit,,,Hamilton,,
,facility,,,Corporation,0.0,6849,,,,,,58022,,,,0.0,0.14,,7.32,2021,0.0,"Parkridge Medical Center, Inc.",,9398,,,0.0,,,230,0.0,0.0,,50157,,,,,Investor-Owned For-Profit,,,Hamilton,,
,facility,,,Corporation,0.0,3809,,,,,,42548,,,,0.0,0.0,,7.21,2021,0.0,Parkridge East Hospital,,0,,,0.0,,,231,0.0,0.0,,27468,,,,,Investor-Owned For-Profit,,,Hamilton,,
,facility,,,State,0.0,2424,,,,,,0,,,,0.0,0.0,,17.75,2021,0.0,Moccasin Bend Mental Health Institute,,0,,,0.0,,,232,0.0,0.0,,43034,,,,,Goverment Non-Federal,,,Hamilton,,
,facility,,,Corporation,0.0,849,,,,,,612,,,,0.0,0.0,,33.34,2021,0.0,Parkridge Valley Child and Adolecents Hospital,,0,,,0.0,,,233,0.0,0.0,,28302,,,,,Investor-Owned For-Profit,,,Hamilton,,
,facility,,,Corporation,0.0,1907,,,,,,9224,,,,0.0,0.0,,7.09,2021,0.0,Parkridge Valley Adult and Senior Services,,0,,,0.0,,,234,0.0,0.0,,13530,,,,,Investor-Owned For-Profit,,,Hamilton,,
,facility,,,Other Nonprofit Corp,0.0,1304,,,,,,32914,,,,0.0,0.0,,21.49,2021,0.0,Siskin Hospital for Physical Rehabilitation,,0,,,0.0,,,235,0.0,0.0,,28027,,,,,NonGovermental Not-For-Profit,,,Hamilton,,
,facility,,,Corporation,0.0,853,,,,,,0,,,,0.0,0.0,,17.8,2021,0.0,Encompass Health Rehab Hospital of Chattanooga,,0,,,0.0,,,236,0.0,0.0,,15185,,,,,Investor-Owned For-Profit,,,Hamilton,,
,facility,,,Corporation,0.0,190,,,,,,0,,,,0.0,0.0,,56.6,2021,0.0,Kindred Hospital - Chattanooga,,0,,,0.0,,,237,0.0,0.0,,10754,,,,,Investor-Owned For-Profit,,,Hamilton,,
,facility,,,Other Nonprofit Corp,0.0,98,,,,,,12391,,,,0.0,0.0,,3.32,2021,0.0,Hancock County Hospital,,0,,,0.0,,,238,0.0,0.0,,325,,,,,NonGovermental Not-For-Profit,,,Hancock,,
,facility,,,Hospital District or Authority,0.0,187,,,,,,12385,,,,0.0,0.0,,4.67,2021,0.0,West Tennessee Healthcare Bolivar Hospital,,0,,,0.0,,,239,0.0,0.0,,874,,,,,Goverment Non-Federal,,,Hardeman,,
,facility,,,State,0.0,590,,,,,,0,,,,0.0,0.0,,79.51,2021,0.0,Western Mental Health Institute,,0,,,0.0,,,240,0.0,0.0,,46908,,,,,Goverment Non-Federal,,,Hardeman,,
,facility,,,County,0.0,1116,,,,,,51404,,,,0.0,0.0,,3.64,2021,0.0,Hardin Medical Center,,0,,,0.0,,,241,0.0,0.0,,4061,,,,,Goverment Non-Federal,,,Hardin,,
,facility,,,Other Nonprofit Corp,0.0,156,,,,,,25786,,,,0.0,0.0,,2.31,2021,0.0,Hawkins County Memorial Hospital,,0,,,0.0,,,242,0.0,0.0,,360,,,,,NonGovermental Not-For-Profit,,,Hawkins,,
,facility,,,Corporation,0.0,859,,,,,,48320,,,,0.0,0.0,,4.58,2021,0.0,Henderson County Community Hospital,,0,,,0.0,,,243,0.0,0.0,,3932,,,,,Investor-Owned For-Profit,,,Henderson,,
,facility,,,Hospital District or Authority,0.0,3032,,,,,,61246,,,,0.0,0.0,,4.55,2021,0.0,Henry County Medical Center,,0,,,0.0,,,244,0.0,0.0,,13798,,,,,Goverment Non-Federal,,,Henry,,
,facility,,,Other Nonprofit Corp,0.0,65,,,,,,25383,,,,0.0,0.0,,20.92,2021,0.0,Saint Thomas Hickman Hospital,,0,,,0.0,,,245,0.0,0.0,,1360,,,,,NonGovermental Not-For-Profit,,,Hickman,,
,facility,,,County,0.0,138,,,,,,3813,,,,0.0,0.0,,4.09,2021,0.0,Houston County Community Hospital,,0,,,0.0,,,246,0.0,0.0,,564,,,,,Goverment Non-Federal,,,Houston,,
,facility,,,Other Nonprofit Corp,0.0,356,,,,,,27709,,,,0.0,0.0,,4.21,2021,0.0,Three Rivers Hospital,,0,,,0.0,,,247,0.0,0.0,,1497,,,,,NonGovermental Not-For-Profit,,,Humphreys,,
,facility,,,Corporation,0.0,2305,,,,,,58969,,,,0.0,0.0,,4.58,2021,0.0,Tennova Healthcare - Jefferson Memorial Hospital,,0,,,0.0,,,248,0.0,0.0,,10549,,,,,Investor-Owned For-Profit,,,Jefferson,,
,facility,,,Other Nonprofit Corp,0.0,12,,,,,,29662,,,,0.0,0.0,,1.25,2021,0.0,Johnson County Community Hospital,,0,,,0.0,,,249,0.0,0.0,,15,,,,,NonGovermental Not-For-Profit,,,Johnson,,
,facility,,,Other Nonprofit Corp,0.0,19424,,,,,,186208,,,,0.0,0.0,,5.05,2021,0.0,Fort Sanders Regional Medical Center,,0,,,0.0,,,250,0.0,0.0,,98053,,,,,NonGovermental Not-For-Profit,,,Knox,,
,facility,,,Other Nonprofit Corp,0.0,32269,,,,,,392365,,,,0.0,0.0,,5.99,2021,0.0,The University of Tennessee Medical Center,,0,,,0.0,,,252,0.0,0.0,,193270,,,,,NonGovermental Not-For-Profit,,,Knox,,
,facility,,,Other Nonprofit Corp,0.0,4261,,,,,,197983,,,,0.0,0.0,,7.11,2021,0.0,East Tennessee Childrens Hospital,,0,,,0.0,,,253,0.0,0.0,,30278,,,,,NonGovermental Not-For-Profit,,,Knox,,
,facility,,,Other Nonprofit Corp,0.0,18537,,,,,,171073,,,,0.0,0.0,,4.59,2021,0.0,Parkwest Medical Center,,0,,,0.0,,,254,0.0,0.0,,85025,,,,,NonGovermental Not-For-Profit,,,Knox,,
,facility,,,Corporation,0.0,5911,,,,,,88904,,,,0.0,0.0,,5.56,2021,0.0,Tennova Healthcare Turkey Creek Medical Center,,0,,,0.0,,,255,0.0,0.0,,32859,,,,,Investor-Owned For-Profit,,,Knox,,
,facility,,,Corporation,0.0,6716,,,,,,98393,,,,0.0,0.0,,5.67,2021,0.0,Tennova Healthcare - North Knoxville,,0,,,0.0,,,256,0.0,0.0,,38110,,,,,Investor-Owned For-Profit,,,Knox,,
,facility,,,Corporation,0.0,337,,,,,,0,,,,0.0,0.0,,28.18,2021,0.0,Select Specialty Hospital - Knoxville,,0,,,0.0,,,257,0.0,0.0,,9498,,,,,Investor-Owned For-Profit,,,Knox,,
,facility,,,Corporation,0.0,326,,,,,,0,,,,0.0,0.0,,35.6,2021,0.0,Select Specialty Hospital - North Knoxville,,0,,,0.0,,,258,0.0,0.0,,11607,,,,,Investor-Owned For-Profit,,,Knox,,
,facility,,,Corporation,0.0,159,,,,,,13771,,,,0.0,0.0,,3.84,2021,0.0,Lauderdale Community Hospital,,0,,,0.0,,,259,0.0,0.0,,610,,,,,Investor-Owned For-Profit,,,Lauderdale,,
,facility,,,Corporation,0.0,1760,,,,,,39864,,,,0.0,0.0,,4.61,2021,0.0,Southern Tennessee Regional Heallth System Lawrenceburg,,0,,,0.0,,,260,0.0,0.0,,8118,,,,,Investor-Owned For-Profit,,,Lawrence,,
,facility,,,County,0.0,1443,,,,,,36994,,,,0.0,0.0,,3.11,2021,0.0,Lincoln Medical Center,,0,,,0.0,,,261,0.0,0.0,,4493,,,,,Goverment Non-Federal,,,Lincoln,,
,facility,,,Other Nonprofit Corp,0.0,2225,,,,,,52914,,,,0.0,0.0,,4.48,2021,0.0,Fort Loudoun Medical Center,,0,,,0.0,,,262,0.0,0.0,,9958,,,,,NonGovermental Not-For-Profit,,,Loudon,,
,facility,,,Corporation,0.0,215,,,,,,19945,,,,0.0,0.0,,19.01,2021,0.0,Starr Regional Medical Center Etowah,,0,,,0.0,,,263,0.0,0.0,,4087,,,,,Investor-Owned For-Profit,,,McMinn,,
,facility,,,Corporation,0.0,2188,,,,,,77017,,,,0.0,0.0,,4.07,2021,0.0,Starr Regional Medical Center,,0,,,0.0,,,264,0.0,0.0,,8910,,,,,Investor-Owned For-Profit,,,McMinn,,
,facility,,,Other Not-For-profit,0.0,812,,,,,,39503,,,,0.0,0.0,,4.33,2021,0.0,Macon Community Hospital,,0,,,0.0,,,266,0.0,0.0,,3515,,,,,NonGovermental Not-For-Profit,,,Macon,,
,facility,,,Hospital District or Authority,0.0,27613,,,,,,145983,,,,0.0,0.0,,6.02,2021,0.0,Jackson - Madison County General Hospital,,0,,,0.0,,,267,0.0,0.0,,166249,,,,,Goverment Non-Federal,,,Madison,,
,facility,,,Hospital District or Authority,0.0,0,,,,,,29425,,,,0.0,0.0,,0.0,2021,0.0,West Tennessee Healthcare - North Hospital,,0,,,0.0,,,268,0.0,0.0,,0,,,,,Goverment Non-Federal,,,Madison,,
,facility,,,Hospital District or Authority,0.0,1417,,,,,,9672,,,,0.0,0.0,,4.86,2021,0.0,Pathways of Tennessee Behaviorial Health Services,,0,,,0.0,,,269,0.0,0.0,,6883,,,,,Goverment Non-Federal,,,Madison,,
,facility,,,Corporation,0.0,358,,,,,,0,,,,0.0,0.0,,1.0,2021,0.0,Perimeter Behavioral Hospital of Jackson,,0,,,0.0,,,270,0.0,0.0,,358,,,,,Investor-Owned For-Profit,,,Madison,,
,facility,,,Corporation,0.0,633,,,,,,22744,,,,0.0,0.0,,10.58,2021,0.0,Parkridge West Hospital,,0,,,0.0,,,271,0.0,0.0,,6697,,,,,Investor-Owned For-Profit,,,Marion,,
,facility,,,County,0.0,229,,,,,,24820,,,,0.0,0.0,,3.15,2021,0.0,Marshall Medical Center,,0,,,0.0,,,272,0.0,0.0,,722,,,,,Goverment Non-Federal,,,Marshall,,
,facility,,,County,0.0,12387,,,,,,140806,,,,0.0,0.0,,4.15,2021,0.0,Maury Regional Hospital,,0,,,0.0,,,273,0.0,0.0,,51372,,,,,Goverment Non-Federal,,,Maury,,
,facility,,,Corporation,0.0,307,,,,,,0,,,,0.0,0.0,,12.83,2021,0.0,Behavioral Healthcare Center at Columbia,,0,,,0.0,,,274,0.0,0.0,,3938,,,,,Investor-Owned For-Profit,,,Maury,,
,facility,,,Other Nonprofit Corp,0.0,1714,,,,,,105951,,,,0.0,0.0,,6.28,2021,0.0,Sweetwater Hospital Association,,0,,,0.0,,,275,0.0,0.0,,10769,,,,,NonGovermental Not-For-Profit,,,Monroe,,
,facility,,,Partnership,0.0,10187,,,,,,145750,,,,0.0,0.0,,4.72,2021,0.0,Tennova Healthcare- Clarksville,,0,,,0.0,,,276,0.0,0.0,,48063,,,,,Investor-Owned For-Profit,,,Montgomery,,
,facility,,,Corporation,0.0,220,,,,,,0,,,,0.0,0.0,,19.81,2021,0.0,Behavioral Healthcare Center at Clarksville,,0,,,0.0,,,277,0.0,0.0,,4358,,,,,Investor-Owned For-Profit,,,Montgomery,,
,facility,,,Other Nonprofit Corp,0.0,2582,,,,,,50437,,,,0.0,0.0,,3.64,2021,0.0,Baptist Memorial Hospital - Union City,,0,,,0.0,,,278,0.0,0.0,,9401,,,,,NonGovermental Not-For-Profit,,,Obion,,
,facility,,,Corporation,0.0,1653,,,,,,25549,,,,0.0,0.0,,5.45,2021,0.0,Livingston Regional Hospital,,0,,,0.0,,,279,0.0,0.0,,9010,,,,,Investor-Owned For-Profit,,,Overton,,
,facility,,,Hospital District or Authority,0.0,13857,,,,,,209873,,,,0.0,0.0,,5.33,2021,0.0,Cookeville Regional Medical Center,,0,,,0.0,,,282,0.0,0.0,,73798,,,,,Goverment Non-Federal,,,Putnam,,
,facility,,,County,0.0,608,,,,,,45138,,,,0.0,0.0,,4.4,2021,0.0,Rhea Medical Center,,0,,,0.0,,,284,0.0,0.0,,2678,,,,,Goverment Non-Federal,,,Rhea,,
,facility,,,Other Nonprofit Corp,0.0,2789,,,,,,55379,,,,0.0,0.0,,4.12,2021,0.0,Roane Medical Center,,0,,,0.0,,,285,0.0,0.0,,11502,,,,,NonGovermental Not-For-Profit,,,Roane,,
,facility,,,Other Nonprofit Corp,0.0,2501,,,,,,64426,,,,0.0,0.0,,4.99,2021,0.0,NorthCrest Medical Center,,0,,,0.0,,,286,0.0,0.0,,12486,,,,,NonGovermental Not-For-Profit,,,Robertson,,
,facility,,,Other Nonprofit Corp,0.0,20783,,,,,,92314,,,,0.0,0.0,,4.95,2021,0.0,Saint Thomas Rutherford Hospital,,0,,,0.0,,,287,0.0,0.0,,102858,,,,,NonGovermental Not-For-Profit,,,Rutherford,,
,facility,,,Corporation,0.0,6499,,,,,,88027,,,,0.0,0.0,,3.85,2021,0.0,TriStar StoneCrest Medical Center,,0,,,0.0,,,288,0.0,0.0,,24989,,,,,Investor-Owned For-Profit,,,Rutherford,,
,facility,,,Corporation,0.0,4677,,,,,,4737,,,,0.0,0.0,,10.74,2021,0.0,Trustpoint Hospital,,0,,,0.0,,,289,0.0,0.0,,50250,,,,,Investor-Owned For-Profit,,,Rutherford,,
,facility,,,Corporation,0.0,61,,,,,,0,,,,0.0,0.0,,3.1,2021,0.0,Big South Fork Medical Center,,0,,,0.0,,,290,0.0,0.0,,189,,,,,Investor-Owned For-Profit,,,Scott,,
,facility,,,Other Nonprofit Corp,0.0,4576,,,,,,125412,,,,0.0,0.0,,4.46,2021,0.0,LeConte Medical Center,,0,,,0.0,,,291,0.0,0.0,,20416,,,,,NonGovermental Not-For-Profit,,,Sevier,,
,facility,,,Other Nonprofit Corp,0.0,19522,,,,,,157744,,,,0.0,0.0,,8.85,2021,0.0,Baptist Memorial Hospital,,0,,,0.0,,,292,0.0,0.0,,172809,,,,,NonGovermental Not-For-Profit,,,Shelby,,
,facility,,,Other Nonprofit Corp,0.0,16195,,,,,,209170,,,,0.0,0.0,,6.19,2021,0.0,Methodist Hospital - Germantown,,0,,,0.0,,,293,0.0,0.0,,100205,,,,,NonGovermental Not-For-Profit,,,Shelby,,
,facility,,,Other Not-For-profit,0.0,8064,,,,,,243592,,,,0.0,0.0,,10.11,2021,0.0,Regional One Health,,0,,,0.0,,,294,0.0,0.0,,81488,,,,,NonGovermental Not-For-Profit,,,Shelby,,
,facility,,,Other Nonprofit Corp,0.0,943,,,,,,64339,,,,0.0,0.0,,18.36,2021,0.0,Saint Jude Childrens Research Hospital,,0,,,0.0,,,295,0.0,0.0,,17312,,,,,NonGovermental Not-For-Profit,,,Shelby,,
,facility,,,Other Nonprofit Corp,0.0,4314,,,,,,62698,,,,0.0,0.0,,5.92,2021,0.0,Methodist Hospital - South,,0,,,0.0,,,296,0.0,0.0,,25556,,,,,NonGovermental Not-For-Profit,,,Shelby,,
,facility,,,Other Nonprofit Corp,0.0,10113,,,,,,164559,,,,0.0,0.0,,9.31,2021,0.0,Methodist Healthcare - Memphis Hospitals,,0,,,0.0,,,297,0.0,0.0,,94175,,,,,NonGovermental Not-For-Profit,,,Shelby,,
,facility,,,Other Nonprofit Corp,0.0,8176,,,,,,108034,,,,0.0,0.0,,6.59,2021,0.0,Methodist Hospital - North,,0,,,0.0,,,298,0.0,0.0,,53848,,,,,NonGovermental Not-For-Profit,,,Shelby,,
,facility,,,Other Nonprofit Corp,0.0,4134,,,,,,166548,,,,0.0,0.0,,15.94,2021,0.0,Lebonheur Childrens Hospital,,0,,,0.0,,,299,0.0,0.0,,65890,,,,,NonGovermental Not-For-Profit,,,Shelby,,
,facility,,,Other Nonprofit Corp,0.0,2953,,,,,,44217,,,,0.0,0.0,,6.97,2021,0.0,Baptist Memorial Hospital - Collierville,,0,,,0.0,,,300,0.0,0.0,,20583,,,,,NonGovermental Not-For-Profit,,,Shelby,,
,facility,,,Corporation,0.0,2365,,,,,,9964,,,,0.0,0.0,,14.67,2021,0.0,Delta Medical Center,,0,,,0.0,,,301,0.0,0.0,,34694,,,,,Investor-Owned For-Profit,,,Shelby,,
